Time,compartment,s1,at,s2,s3,na,s4,s5,s6,s6o,k0,k1,k2,k31,k33,k32,k34,k4,k5,k6,k7,k8,k9,k10,atot,ntot,n,ki,v1,v2,v3,v4,v5,v7,v8,v9,v10,v6,v0
0.1725,1.0,0.8534370654063816,2.2252294803735837,5.155928303432801,0.546131737967054,0.5732718542266363,0.549269897757409,8.311665098453812,0.07263298424871556,0.023094164006860915,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,41.88570828864726,50.754613332406386,81.58577673492532,78.47905370294106,80.68189679709923,61.24877185343648,20.060704082503296,1.845735715327558,18.535307522176545,62.09668331721072,50.0
0.175,1.0,0.8771700730549139,2.2628937237555515,5.131175343349369,0.5454573795645291,0.5749876200681443,0.5578071112666909,8.30456527606375,0.07278368750417069,0.023122514415910216,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,40.930659147151815,50.52809737364145,81.31074533713262,77.98624174864523,80.62315145500197,62.306425450460345,19.972366479430036,1.8475331205488732,18.577057590695492,61.989077380880644,50.0
0.1775,1.0,0.9028039166661538,2.2998512241781897,5.105144379529952,0.5445781064061543,0.5768641444510456,0.5667181753083828,8.29651572906869,0.07294933051228925,0.02315654178842953,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,40.10508748838948,50.28551836482382,81.01515230208291,77.51761871321233,80.55428317781836,63.36102426515544,19.867500115737776,1.8498011532728174,18.622939908097678,61.8679364927281,50.0
0.18,1.0,0.9300144196937377,2.335574962354071,5.078186571227126,0.5435081509759897,0.5788734705529944,0.5758825657137163,8.287624956275675,0.07312767000045062,0.02319592084515406,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,39.40982832269398,50.03041491939353,80.70369629909354,77.08041695892136,80.47620257196628,64.3958342769893,19.747895818305977,1.8525233430743624,18.67229577144739,61.73495475608191,50.0
0.1825,1.0,0.9584836473613736,2.3696114338013623,5.050638404982231,0.5422619547722751,0.5809858414334803,0.5851763562230263,8.278013728188174,0.07331624495452427,0.023240217165513517,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,38.84325888619556,49.76622839802584,80.38108225972539,76.68106888941492,80.38996207587404,65.39609894591399,19.615504605410276,1.8556736676123249,18.72440593323621,61.59200374767135,50.0
0.185,1.0,0.9879030763469328,2.401579430760588,5.022818921896058,0.540853606413992,0.5831704793107241,0.594473924606052,8.267812747806031,0.07351244011787927,0.023288899989225658,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,38.4021394567721,49.49625636882587,80.05191400904926,76.32518723166426,80.29673316342529,66.34912014643814,19.472362925322063,1.8592173732410813,18.778510420879034,61.441089377753656,50.0
0.1875,1.0,1.0179752948448748,2.4311658543685817,4.995028462981452,0.5392965129645019,0.5853963079660097,0.6036495098352551,8.257160329510151,0.07371354830986632,0.023341356877120807,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,38.08228174915094,49.22362543458137,79.72060864618699,76.01754791734344,80.1977836537185,67.24422406129646,19.320529334259128,1.8631119991380527,18.833827548245104,61.28431035806944,50.0
0.19,1.0,1.048414593708569,2.4581195183216655,4.967548539674361,0.537603285729257,0.5876326031106625,0.6125786571396239,8.246200110386154,0.07391683017068293,0.023396909602130138,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,37.879060344881836,48.951278937218234,79.39133207487178,75.76207704185735,80.09445519624846,68.07264392232028,19.16203368473513,1.8673085501696645,18.889571787279568,61.123818564392955,50.0
0.1925,1.0,1.0789467388165344,2.4822437124678984,4.940642515800327,0.5357858081023673,0.5898495582029376,0.6211395738150792,8.235078819258424,0.07411956995726651,0.023454830689786543,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,37.78779355736838,48.68197568880874,79.06795478976498,75.56184599490484,79.98814107074568,68.82734651300663,18.998838784349648,1.8717527681704111,18.944970213207295,60.96178168759153,50.0
0.195,1.0,1.1093081442037842,2.5033881141063126,4.9145568646198345,0.5338554453776502,0.5920187555060572,0.6292144042440765,8.223944139119622,0.07431912597842658,0.02351436006211523,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,37.804022670270015,48.41829665484321,78.75402676321977,75.41907948742771,79.88026454680671,69.50282394910116,18.83281375178272,1.8763864551829235,18.99927722530499,60.80034872756226,50.0
