Time,chloroplast,cytosol,RuBP,PGA,TP,Ru5P,Pi,ATP,ADP,E_RuBisCO,totRuBP,TPc,Pic,V6,P_0,RuBisCO,PGA_red,TP_red,RuBP_reg,TPT,ATP_S
15.75,1.0,1.0,0.9903504049111305,8.897310999552598,0.25299209572435316,0.26742319999123937,0.9651361111718483,0.26651152215326745,1.2334884778467352,3.56,2.675313035703347,0.2,1.4,5.8801285588795,16.0,1.300749477984249,2.421021215751366,0.41167422784931806,1.2371650963221652,0.36847944721055925,3.643906827596104
15.925,1.0,1.0,0.9796855862108677,8.927405795584308,0.2520291682295215,0.2670681646771223,0.9600291613503238,0.26417127615255587,1.235828723847447,3.56,2.6646482170030845,0.2,1.4,5.8801285588795,16.0,1.2959288321329692,2.4170761501342946,0.4106812673901299,1.2341076043292678,0.3692837607822206,3.6375271514831207
16.1,1.0,1.0,0.969324059931973,8.956534695843919,0.25110237167554744,0.266726407535485,0.9551299530847125,0.2619331904119538,1.2380668095880494,3.56,2.6542866907241915,0.2,1.4,5.8801285588795,16.0,1.291231616771284,2.413260532545128,0.40972234271159585,1.2311540223043034,0.3700533397472941,3.6313544264418827
16.275,1.0,1.0,0.9592619570489164,8.984718623183126,0.25021065869390946,0.2663976009014324,0.9504310303258849,0.25979291121337916,1.240207088786624,3.56,2.6442245878411343,0.2,1.4,5.8801285588795,16.0,1.2866574469638894,2.4095720726416054,0.40879672007816836,1.2283021957299163,0.3707895621622102,3.6253852421292994
16.45,1.0,1.0,0.9494951374226622,9.011978687507629,0.24935298609149975,0.2660814109376094,0.9459251212007612,0.2577462578327407,1.2422537421672617,3.56,2.6344577682148804,0.2,1.4,5.8801285588795,16.0,1.2822057218216907,2.406008353519975,0.40790364579427707,1.2255499025649728,0.37149376331748163,3.6196159633668747
16.625,1.0,1.0,0.9400192144176973,9.038336136255696,0.24852831732665864,0.2657774989407236,0.9416051399553197,0.2557892171017741,1.2442107828982283,3.56,2.6249818452099136,0.2,1.4,5.8801285588795,16.0,1.277875640345809,2.402566848430979,0.4070423497209351,1.222894863893206,0.37216723610225416,3.6140427572354987
16.8,1.0,1.0,0.9308295786263974,9.063812307437866,0.24773562477511044,0.26548552261007397,0.9374641883713764,0.25391793796834744,1.246082062031655,3.56,2.615792209418613,0.2,1.4,5.8801285588795,16.0,1.2736662167521988,2.399244936675322,0.4062120486152426,1.220334754118412,0.3728112314240366,3.6086616190901672
16.975,1.0,1.0,0.9219214066942586,9.088428614578639,0.2469738777712792,0.26520514487533786,0.9334955221429473,0.25212876565884884,1.247871234341154,3.56,2.6068840374864735,0.2,1.4,5.8801285588795,16.0,1.2695762952664964,2.396039918652777,0.40541194928531216,1.2178672106701387,0.37342695868693326,3.6034683974052917
17.15,1.0,1.0,0.9132897148471585,9.112206440595338,0.24624208312310905,0.2649360132254683,0.9296926289361845,0.25041814284115266,1.24958185715885,3.56,2.5982523456393745,0.2,1.4,5.8801285588795,16.0,1.2656045581280873,2.392949156225624,0.4046412373547264,1.2154899288610437,0.3740155716110357,3.598458764090709
17.325,1.0,1.0,0.9049293636012906,9.135167127164742,0.24553925750976682,0.26467777840039636,0.9260491940963141,0.248782654041771,1.251217345958232,3.56,2.589891994393505,0.2,1.4,5.8801285588795,16.0,1.2617495533638252,2.389969790399564,0.4038991191181401,1.2132004570600154,0.37457822103341193,3.5936283568606933
17.5,1.0,1.0,0.8968350733380359,9.157331949809372,0.24486442703297212,0.2644300961010033,0.9225590818588402,0.24721903693731348,1.2527809630626898,3.56,2.58179770413025,0.2,1.4,5.8801285588795,16.0,1.2580097006943827,2.387098908626662,0.40318479462329987,1.2109963358321916,0.37511599980487187,3.58897274660334
17.675,1.0,1.0,0.889001446456927,9.178722079009018,0.2442166348841944,0.2641926239470681,0.919216338881156,0.24572416878028214,1.2542758312197206,3.56,2.5739640772491406,0.2,1.4,5.8801285588795,16.0,1.2543833020812634,2.384333609409313,0.40249745803032055,1.2088751339173704,0.37562995021763257,3.5844874295824214
17.85,1.0,1.0,0.8814229862999009,9.199358546524214,0.2435949430432827,0.2639650219833439,0.9160151954416196,0.2442950588233121,1.2557049411766905,3.56,2.5663856170921138,0.2,1.4,5.8801285588795,16.0,1.250868555053117,2.3816709866175825,0.40183630623537214,1.206834429793312,0.37612107885245133,3.5801678531119183
18.025,1.0,1.0,0.8740941147313054,9.219262214844074,0.24299843310438587,0.2637469535936895,0.912950064822871,0.24292884258794578,1.257071157412057,3.56,2.5590567455235176,0.2,1.4,5.8801285588795,16.0,1.2474635644373853,2.3791081315017277,0.40120054145377987,1.2048718129775642,0.37659035719375855,3.5760094364120287
18.2,1.0,1.0,0.8670091887604394,9.238453749118905,0.24242620697755485,0.2635380863371777,0.9100155416653505,0.24162277679571148,1.258377223204291,3.56,2.5519718195526497,0.2,1.4,5.8801285588795,16.0,1.244166353335671,2.3766421392575503,0.4005893728963927,1.2029848889697587,0.3770387212953455,3.5720075879700244
18.375,1.0,1.0,0.8601625162847056,9.256953591342098,0.24187738751638788,0.2633380926676718,0.9072063997171887,0.24037423460282656,1.259625765397176,3.56,2.545125147076913,0.2,1.4,5.8801285588795,16.0,1.2409748735175117,2.374270116467024,0.40000201829435367,1.2011712845034592,0.3774670719889998,3.5681577206213584
18.55,1.0,1.0,0.8535483709703242,9.274781936664946,0.24135111904998846,0.2631466505539361,0.9045175891812953,0.23918070102476974,1.2608192989752325,3.56,2.538511001762531,0.2,1.4,5.8801285588795,16.0,1.2378870152705501,2.37198918832309,0.3994377053216027,1.1994286524339868,0.3778762754864414,3.5644552649694257
18.725,1.0,1.0,0.847161006277844,9.291958711763913,0.2408465678082208,0.26296344401527805,0.9019442337586483,0.23803976851383357,1.261960231486169,3.56,2.532123637070052,0.2,1.4,5.8801285588795,16.0,1.2349006167184684,2.3697965053104073,0.3988956728912288,1.1977546761434636,0.3782671641754708,3.5608956814312482
18.9,1.0,1.0,0.8409946686404574,9.308503555189493,0.24036292224040184,0.2627881635822544,0.8994816274449132,0.23694913267760406,1.2630508673223988,3.56,2.525957299432667,0.2,1.4,5.8801285588795,16.0,1.232013472614072,2.367689249254658,0.3983751723128744,1.1961470734602584,0.37864053750575094,3.557474471054144
19.075,1.0,1.0,0.83504360980579,9.324435799627468,0.23989939323287582,0.2626205066889363,0.8971252311204435,0.23590658813427798,1.2640934118657245,3.56,2.5200062405980006,0.2,1.4,5.8801285588795,16.0,1.229223342615591,2.365664638733193,0.39787546831010295,1.1946036001140274,0.37899716291702584,3.5541871851933378
19.25,1.0,1.0,0.8293020983546234,9.339774456002297,0.2394552142328964,0.2624601780018547,0.8948706689661862,0.23491002450309775,1.2650899754969052,3.56,2.5142647291468343,0.2,1.4,5.8801285588795,16.0,1.226527959055668,2.3637199338676913,0.3973958399024525,1.1931220527521473,0.37933777678825037,3.5510294341205304
19.425,1.0,1.0,0.8237644304126016,9.35453819935068,0.23902964128677565,0.2623068896901489,0.8927137247341091,0.23395742252866147,1.2660425774713415,3.56,2.5087270612048123,0.2,1.4,5.8801285588795,16.0,1.223925034213909,2.3618524405296037,0.39693558115928557,1.1917002715440164,0.37966308539663357,3.547996894626504
19.6,1.0,1.0,0.8184249395732837,9.368745356391672,0.23862195300021463,0.26216036164117523,0.8906503378981998,0.2330468503377476,1.266953149662255,3.56,2.503387570365496,0.2,1.4,5.8801285588795,16.0,1.2214122671051522,2.360059513992689,0.39649400183344136,1.1903361423994634,0.3799737658799072,3.5450853166784686
